x1,x2,Derajat Keanggotaan Cluster 1,Derajat Keanggotaan Cluster 2,Kecenderungan Masuk Cluster
1.4,1.7,0.30524,0.69476,C2
1.7,2.0,0.76291,0.23709,C1
2.0,2.3,0.97227,0.02773,C1
2.3,2.5,0.98129,0.01871,C1
2.5,2.5,0.96901,0.03099,C1
2.5,2.3,0.98106,0.01894,C1
2.3,2.0,0.97178,0.02822,C1
2.0,1.7,0.76271,0.23729,C1
1.7,1.4,0.30629,0.69371,C2
1.4,1.3,0.07464,0.92536,C2
1.3,1.2,0.02471,0.97529,C2
1.2,1.3,0.02428,0.97572,C2
1.3,1.5,0.12009,0.87991,C2
1.5,1.8,0.45981,0.54019,C2
1.8,2.1,0.86943,0.13057,C1
2.1,2.2,0.989,0.011,C1
2.2,2.3,0.9982,0.0018,C1
2.3,2.2,0.99804,0.00196,C1
2.2,2.1,0.98882,0.01118,C1
2.1,1.8,0.869,0.131,C1
1.8,1.6,0.54306,0.45694,C1
1.6,1.4,0.22999,0.77001,C2
1.4,1.5,0.16317,0.83683,C2
1.5,1.8,0.45981,0.54019,C2
1.8,2.1,0.86943,0.13057,C1
2.1,2.3,0.99007,0.00993,C1
2.3,2.4,0.99209,0.00791,C1
2.4,2.4,0.98679,0.01321,C1
2.4,2.3,0.99196,0.00804,C1
2.3,2.0,0.97178,0.02822,C1
2.0,1.7,0.76271,0.23729,C1
1.7,1.4,0.30629,0.69371,C2
1.4,1.1,0.04293,0.95707,C2
1.1,1.1,0.0,1.0,C2
1.1,1.1,0.0,1.0,C2
1.1,1.3,0.01737,0.98263,C2
1.3,1.6,0.17944,0.82056,C2
1.6,1.9,0.62085,0.37915,C1
1.9,2.1,0.91926,0.08074,C1
2.1,2.3,0.99007,0.00993,C1
2.3,2.3,0.99824,0.00176,C1
2.3,2.2,0.99804,0.00196,C1
2.2,2.0,0.9688,0.0312,C1
2.0,1.7,0.76271,0.23729,C1
1.5,1.5,0.22209,0.77791,C2
1.5,1.7,0.37591,0.62409,C2
1.7,1.9,0.70246,0.29754,C1
1.9,2.2,0.9372,0.0628,C1
2.2,2.4,0.99157,0.00843,C1
2.4,2.5,0.97721,0.02279,C1
2.5,2.4,0.97711,0.02289,C1
2.4,2.3,0.99196,0.00804,C1
2.3,2.0,0.97178,0.02822,C1
2.0,1.6,0.68673,0.31327,C1
1.6,1.2,0.14688,0.85312,C2
1.2,1.0,0.0078,0.9922,C2
1.0,0.9,0.01462,0.98538,C2
0.9,1.0,0.01436,0.98564,C2
1.0,1.2,0.00712,0.99288,C2
1.2,1.5,0.09232,0.90768,C2
1.5,1.8,0.45981,0.54019,C2
1.8,2.1,0.86943,0.13057,C1
2.1,2.3,0.99007,0.00993,C1
2.3,2.4,0.99209,0.00791,C1
2.4,2.3,0.99196,0.00804,C1
2.3,2.1,0.98974,0.01026,C1
1.7,1.6,0.45786,0.54214,C2
1.6,1.6,0.37253,0.62747,C2
1.6,1.8,0.54278,0.45722,C1
1.8,2.0,0.83131,0.16869,C1
2.0,2.2,0.96916,0.03084,C1
2.2,2.4,0.99157,0.00843,C1
2.4,2.5,0.97721,0.02279,C1
2.5,2.5,0.96901,0.03099,C1
2.5,2.2,0.97968,0.02032,C1
2.2,1.9,0.93669,0.06331,C1
1.9,1.4,0.46466,0.53534,C2
1.4,1.0,0.04277,0.95723,C2
1.0,0.8,0.02672,0.97328,C2
0.8,0.7,0.05257,0.94743,C2
0.7,0.8,0.05239,0.94761,C2
0.8,1.0,0.02625,0.97375,C2
1.0,1.4,0.04132,0.95868,C2
1.4,1.8,0.38555,0.61445,C2
1.8,2.1,0.86943,0.13057,C1
2.1,2.4,0.98378,0.01622,C1
2.4,2.5,0.97721,0.02279,C1
2.5,2.4,0.97711,0.02289,C1
1.9,1.8,0.77721,0.22279,C1
1.8,1.7,0.62811,0.37189,C1
1.7,1.7,0.54422,0.45578,C1
1.7,1.9,0.70246,0.29754,C1
1.9,2.1,0.91926,0.08074,C1
2.1,2.3,0.99007,0.00993,C1
2.3,2.5,0.98129,0.01871,C1
2.5,2.6,0.95785,0.04215,C1
2.6,2.5,0.95777,0.04223,C1
2.5,2.2,0.97968,0.02032,C1
2.2,1.7,0.83746,0.16254,C1
1.7,1.3,0.25053,0.74947,C2
1.3,0.8,0.04216,0.95784,C2
0.8,0.6,0.06589,0.93411,C2
0.6,0.5,0.09535,0.90465,C2
0.5,0.7,0.08665,0.91335,C2
0.7,1.0,0.04071,0.95929,C2
1.0,1.4,0.04132,0.95868,C2
1.4,1.8,0.38555,0.61445,C2
1.8,2.2,0.89299,0.10701,C1
2.2,2.5,0.98005,0.01995,C1
2.5,2.6,0.95785,0.04215,C1
2.2,2.0,0.9688,0.0312,C1
2.0,1.8,0.83106,0.16894,C1
1.8,1.7,0.62811,0.37189,C1
1.7,1.8,0.62805,0.37195,C1
1.8,2.0,0.83131,0.16869,C1
2.0,2.2,0.96916,0.03084,C1
2.2,2.4,0.99157,0.00843,C1
2.4,2.6,0.96451,0.03549,C1
2.6,2.7,0.93664,0.06336,C1
2.7,2.5,0.94445,0.05555,C1
2.5,2.1,0.97183,0.02817,C1
2.1,1.6,0.73791,0.26209,C1
1.6,1.0,0.11708,0.88292,C2
1.0,0.6,0.0575,0.9425,C2
0.6,0.4,0.1075,0.8925,C2
0.4,0.4,0.12515,0.87485,C2
0.4,0.6,0.10727,0.89273,C2
0.6,1.0,0.05675,0.94325,C2
1.0,1.4,0.04132,0.95868,C2
1.4,1.9,0.46371,0.53629,C2
1.9,2.4,0.94188,0.05812,C1
2.4,2.6,0.96451,0.03549,C1
2.4,2.2,0.99129,0.00871,C1
2.2,1.9,0.93669,0.06331,C1
1.9,1.8,0.77721,0.22279,C1
1.8,1.8,0.70829,0.29171,C1
1.8,1.9,0.77729,0.22271,C1
1.9,2.1,0.91926,0.08074,C1
2.1,2.3,0.99007,0.00993,C1
2.3,2.6,0.96731,0.03269,C1
2.6,2.7,0.93664,0.06336,C1
2.7,2.7,0.9266,0.0734,C1
2.7,2.4,0.94951,0.05049,C1
2.4,1.9,0.94119,0.05881,C1
1.9,1.4,0.46466,0.53534,C2
1.4,0.8,0.06079,0.93921,C2
0.8,0.5,0.08026,0.91974,C2
0.5,0.3,0.12715,0.87285,C2
0.3,0.4,0.13511,0.86489,C2
0.4,0.7,0.10011,0.89989,C2
0.7,1.1,0.04067,0.95933,C2
1.1,1.6,0.12469,0.87531,C2
1.6,2.1,0.73811,0.26189,C1
2.1,2.5,0.97233,0.02767,C1
2.5,2.3,0.98106,0.01894,C1
2.3,2.0,0.97178,0.02822,C1
2.0,1.8,0.83106,0.16894,C1
1.8,1.8,0.70829,0.29171,C1
1.8,1.8,0.70829,0.29171,C1
1.8,2.0,0.83131,0.16869,C1
2.0,2.2,0.96916,0.03084,C1
2.2,2.5,0.98005,0.01995,C1
2.5,2.7,0.94459,0.05541,C1
2.7,2.8,0.91512,0.08488,C1
2.8,2.7,0.91507,0.08493,C1
2.7,2.3,0.95101,0.04899,C1
2.3,1.7,0.85509,0.14491,C1
1.7,1.1,0.18277,0.81723,C2
1.1,0.7,0.04157,0.95843,C2
0.7,0.4,0.10047,0.89953,C2
0.4,0.3,0.1352,0.8648,C2
0.3,0.5,0.12696,0.87304,C2
0.5,0.8,0.07983,0.92017,C2
0.8,1.3,0.04078,0.95922,C2
1.3,1.8,0.32403,0.67597,C2
1.8,2.3,0.90456,0.09544,C1
2.6,2.4,0.96433,0.03567,C1
2.4,2.2,0.99129,0.00871,C1
2.2,1.9,0.93669,0.06331,C1
1.9,1.7,0.70243,0.29757,C1
1.7,1.7,0.54422,0.45578,C1
